flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,total_packets,forward_packets,backward_packets,is_bidirectional,forward_backward_ratio,total_bytes,forward_bytes,backward_bytes,total_payload_bytes,forward_payload_bytes,backward_payload_bytes,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,avg_packet_size,avg_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,tcp_flags,syn_count,fin_count,rst_count,ack_count,connection_state
134.170.58.222:80 <-> 192.168.0.53:1150 (TCP),134.170.58.222,192.168.0.53,80,1150,TCP,2015-03-09 14:00:38.014843,2015-03-09 14:02:26.609149,108.594306,280,162,118,True,1.3728813559322033,233628,198773,34855,224108,193265,30843,2.5784040647582387,2151.383517290492,60,1454,834.3857142857142,389.22690322580644,0.0,60338.699,"A,PA,RA,S,SA",1,0,1,279,Reset
192.168.0.53:1161 <-> 80.239.237.26:80 (TCP),192.168.0.53,80.239.237.26,1161,80,TCP,2015-03-09 14:01:09.154829,2015-03-09 14:01:09.464312,0.309483,241,84,157,True,0.535031847133758,228383,5464,222919,220189,2608,217581,778.7180555959454,737950.0651085842,60,1454,947.6473029045643,1.2895125000000003,0.0,41.637,"A,FA,PA,S,SA",1,2,0,240,Closed
192.168.0.53:1216 <-> 204.79.197.200:80 (TCP),192.168.0.53,204.79.197.200,1216,80,TCP,2015-03-09 14:16:29.769739,2015-03-09 14:17:37.064927,67.295188,340,131,209,True,0.6267942583732058,223971,37825,186146,212411,33371,179040,5.052367191544216,3328.1874478157342,60,1454,658.7382352941177,198.51087905604697,0.0,28199.351,"A,PA,RA,S,SA",1,0,1,339,Reset
192.168.0.54:49458 <-> 216.58.209.97:443 (TCP),192.168.0.54,216.58.209.97,49458,443,TCP,2015-03-09 14:40:53.013435,2015-03-09 14:40:53.429483,0.416048,286,106,180,True,0.5888888888888889,223838,8810,215028,214114,5206,208908,687.4206822289736,538010.0373033881,60,1454,782.6503496503497,1.4598175438596483,0.0,76.969,"A,PA,S,SA",1,0,0,285,Established
192.168.0.53:1285 <-> 89.146.199.157:80 (TCP),192.168.0.53,89.146.199.157,1285,80,TCP,2015-03-09 14:29:01.614282,2015-03-09 14:29:05.940191,4.325909,272,110,162,True,0.6790123456790124,220979,21086,199893,211731,17346,194385,62.87695834563325,51082.67418477827,60,1454,812.4227941176471,15.962763837638379,0.0,160.002,"A,FA,PA,S,SA",1,2,0,271,Closed
192.168.0.54:49481 <-> 216.58.209.142:443 (TCP),192.168.0.54,216.58.209.142,49481,443,TCP,2015-03-09 14:40:55.707364,2015-03-09 14:40:56.289644,0.58228,288,108,180,True,0.6,204626,9498,195128,194834,5826,189008,494.607405371986,351421.99629044445,60,1454,710.5069444444445,2.0288501742160268,0.0,71.675,"A,PA,S,SA",1,0,0,287,Established
192.168.0.54:49453 <-> 213.155.151.143:80 (TCP),192.168.0.54,213.155.151.143,49453,80,TCP,2015-03-09 14:40:52.749670,2015-03-09 14:40:53.156091,0.406421,216,77,139,True,0.5539568345323741,199241,5338,193903,191897,2720,189177,531.4686002937841,490233.0342182122,60,1454,922.4120370370371,1.8903302325581404,0.0,115.065,"A,FA,PA,S,SA",1,2,0,215,Closed
192.168.0.54:49216 <-> 23.53.42.121:80 (TCP),192.168.0.54,23.53.42.121,49216,80,TCP,2015-03-09 14:39:32.051749,2015-03-09 14:39:53.725649,21.6739,294,159,135,True,1.1777777777777778,193401,18797,174604,183405,13391,170014,13.564702245558022,8923.221016983562,60,1454,657.8265306122449,73.97235494880546,0.0,14871.77,"A,PA,S,SA",1,0,0,293,Established
191.232.80.55:443 <-> 192.168.0.53:1278 (TCP),191.232.80.55,192.168.0.53,443,1278,TCP,2015-03-09 14:27:09.631395,2015-03-09 14:29:02.025332,112.393937,206,70,136,True,0.5147058823529411,191997,12449,179548,184993,10069,174924,1.8328390792111857,1708.2505082102427,60,1454,932.0242718446602,548.263107317073,0.001,60476.100000000006,"A,PA,RA,S,SA",1,0,1,205,Reset
192.168.0.54:49213 <-> 23.53.42.121:80 (TCP),192.168.0.54,23.53.42.121,49213,80,TCP,2015-03-09 14:39:32.049470,2015-03-09 14:40:05.750699,33.701229,293,160,133,True,1.2030075187969924,189661,19671,169990,179699,14231,165468,8.694044956045966,5627.717612316156,60,1454,647.3071672354948,115.41516780821915,0.0,14900.385999999999,"A,PA,S,SA",1,0,0,292,Established
